cover,title,author,publisher,isbn,timestamp,activity,library,details
https://img1.od-cdn.com/ImageType-100/0293-1/{DE855D7A-454F-41E3-959A-FAA98BEDAE9D}Img100.jpg,These Precious Days,Ann Patchett,HarperCollins,9780063092808,"June 26, 2026 18:55",Placed on hold,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/1523-1/{34EAD3B8-09AE-4126-955A-36E7D05E5BEE}IMG100.JPG,People We Meet on Vacation,Emily Henry,Penguin Publishing Group,9781984806765,"June 26, 2026 17:10",Returned,LION: Libraries Online,on due date
https://img1.od-cdn.com/ImageType-100/0439-1/{C4290AB0-3194-46FE-AB47-D25F01CA2B57}IMG100.JPG,Don't Let Him In,Lisa Jewell,Atria Books,9781668033890,"June 25, 2026 19:31",Placed on hold,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/0293-1/{DE855D7A-454F-41E3-959A-FAA98BEDAE9D}Img100.jpg,These Precious Days,Ann Patchett,HarperCollins,9780063092808,"June 24, 2026 21:10",Returned,LION: Libraries Online,on due date
https://img1.od-cdn.com/ImageType-100/2343-1/{1C0320AC-8762-4A69-ABE3-2F7FD8197959}IMG100.JPG,The Housemaid's Secret,Freida McFadden,Bookouture,9781837901333,"June 23, 2026 19:05",Borrowed,LION: Libraries Online, 14 days 
https://img1.od-cdn.com/ImageType-100/0017-1/{1800F74F-DDC2-44E3-983B-F3616AC56158}IMG100.JPG,You with the Sad Eyes,Christina Applegate,"Little, Brown and Company",9780316594943,"June 21, 2026 15:03",Placed on hold,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/2389-1/{BA2BCB6B-58B6-4137-BE7A-EF055C9D89B3}Img100.jpg,Mrs. Dalloway,Virginia Woolf,Duke Classics,"","June 16, 2026 14:54",Returned,LION: Libraries Online, 3 days  early
https://img2.od-cdn.com/ImageType-100/0293-1/{FE3EEE7F-2DDD-4E12-998A-38C5A43B948D}Img100.jpg,The Song of Achilles,Madeline Miller,HarperCollins,9780062115577,"June 16, 2026 13:42",Hold expired,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/0293-1/{C3BBE655-6D01-422A-8CE2-95F474011E1D}IMG100.JPG,We Are All Guilty Here,Karin Slaughter,HarperCollins,9780063336797,"June 15, 2026 13:38",Returned,LION: Libraries Online,on due date
https://img2.od-cdn.com/ImageType-100/2390-1/{F1F454B1-C4B5-46AD-9A1B-2A08DCDF16BD}IMG100.JPG,The Things We Leave Unfinished,Rebecca Yarros,"Entangled Publishing, LLC",9781682815885,"June 15, 2026 03:46",Hold expired,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/0111-1/{FD9D53D0-BE97-41B0-BB13-22DC4B329370}IMG100.JPG,Norwegian Wood,Haruki Murakami,Knopf Doubleday Publishing Group,9780307762719,"June 14, 2026 15:05",Hold expired,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/0293-1/{44AA89E2-F338-4195-B6D3-1142BF7DBE5E}IMG100.JPG,Whistler,Ann Patchett,HarperCollins,9780063511668,"June 13, 2026 19:49",Placed on hold,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/0293-1/{3067772F-1D46-4F59-90AC-FFD374BB6DC2}IMG100.JPG,Whistler,Ann Patchett,HarperCollins,9780063511651,"June 13, 2026 19:48",Placed on hold,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/1523-1/{34EAD3B8-09AE-4126-955A-36E7D05E5BEE}IMG100.JPG,People We Meet on Vacation,Emily Henry,Penguin Publishing Group,9781984806765,"June 12, 2026 17:10",Borrowed,LION: Libraries Online, 14 days 
https://img3.od-cdn.com/ImageType-100/0111-1/{A8B50A2F-F2C0-4CF7-9F4F-80BB2272042A}IMG100.JPG,Kafka on the Shore,Haruki Murakami,Knopf Doubleday Publishing Group,9781400044818,"June 11, 2026 22:34",Returned,LION: Libraries Online,on due date
https://img1.od-cdn.com/ImageType-100/0293-1/{DE855D7A-454F-41E3-959A-FAA98BEDAE9D}Img100.jpg,These Precious Days,Ann Patchett,HarperCollins,9780063092808,"June 10, 2026 21:10",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/0111-1/{9B739A94-5608-4846-AFD9-98F0B60BFF84}IMG100.JPG,The Correspondent,Virginia Evans,Crown,9780593798447,"June 10, 2026 21:08",Returned,LION: Libraries Online, 3 days  early
https://img3.od-cdn.com/ImageType-100/1523-1/{34EAD3B8-09AE-4126-955A-36E7D05E5BEE}IMG100.JPG,People We Meet on Vacation,Emily Henry,Penguin Publishing Group,9781984806765,"June 08, 2026 12:56",Hold expired,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/2389-1/{BA2BCB6B-58B6-4137-BE7A-EF055C9D89B3}Img100.jpg,Mrs. Dalloway,Virginia Woolf,Duke Classics,"","June 06, 2026 01:08",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/0293-1/{E9BF2236-33E5-452B-B3BD-74CE529009EF}IMG100.JPG,To the Lighthouse,Virginia Woolf,HarperCollins,9780547707532,"June 06, 2026 01:07",Placed on hold,LION: Libraries Online
