Activity ID,Activity Date,Activity Name,Elapsed Time,Distance,Relative Effort,Filename,Average Heart Rate,Is_Favorite
19124286193,Jun 30 2026 12:51:33 PM,Morning Run,4877,11.52,213,activities/20239971114.fit.gz,139,
19111052346,Jun 29 2026 1:02:23 PM,Morning Run,5075,11.87,205,activities/20226537077.fit.gz,137,
19098658663,Jun 28 2026 12:02:33 PM,Morning Run,4892,11.34,171,activities/20213900812.fit.gz,135,
19086386476,Jun 27 2026 11:38:07 AM,Morning Run,8114,17.76,316,activities/20201393125.fit.gz,137,
19062473677,Jun 25 2026 1:04:39 PM,Morning Run,5000,12.02,226,activities/20177106605.fit.gz,140,
19035851809,Jun 23 2026 12:10:58 PM,Morning Run,4902,11.5,208,activities/20150102825.fit.gz,138,
19022846160,Jun 22 2026 1:01:34 PM,Morning Run,5577,13.13,212,activities/20136930904.fit.gz,136,
19010554945,Jun 21 2026 12:29:46 PM,Morning Run,3556,8.51,131,activities/20124411601.fit.gz,136,
18997667864,Jun 20 2026 11:32:33 AM,Morning Run,9243,21.15,471,activities/20111291526.fit.gz,143,
18972281433,Jun 18 2026 12:44:27 PM,Morning Run,5665,13.15,242,activities/20085532377.fit.gz,139,
18943812952,Jun 16 2026 12:49:24 PM,Morning Run,4528,10.71,160,activities/20056676012.fit.gz,135,
18929681164,Jun 15 2026 12:58:52 PM,Morning Run,4623,10.63,150,activities/20042352701.fit.gz,134,
18917340125,Jun 14 2026 12:05:39 PM,Morning Run,4041,8.44,88,activities/20029812079.fit.gz,126,
18904538230,Jun 13 2026 1:06:51 PM,"Bethany, CT",1643,4.86,135,activities/20016801164.fit.gz,171,1
18904530238,Jun 13 2026 11:26:55 AM,Morning Run,3126,6.87,139,activities/20016793029.fit.gz,140,
18878060124,Jun 11 2026 11:36:47 AM,Morning Run,5069,11.74,291,activities/19989912961.fit.gz,148,
18851323837,Jun 9 2026 12:52:41 PM,Morning Run,5871,13.19,166,activities/19962740414.fit.gz,130,
18836135995,Jun 8 2026 11:16:14 AM,Morning Run,4457,10.38,162,activities/19947286052.fit.gz,136,
18824063689,Jun 7 2026 12:00:01 PM,Morning Run,3822,8.39,112,activities/19934978631.fit.gz,131,
18810417080,Jun 6 2026 11:55:13 AM,Morning Run,6509,15.56,319,activities/19921075250.fit.gz,142,
18782914225,Jun 4 2026 10:53:16 AM,Morning Run,4996,11.59,173,activities/19893064973.fit.gz,135,
18754861369,Jun 2 2026 10:52:20 AM,Morning Run,4679,11.47,220,activities/19864532095.fit.gz,141,
18741423102,Jun 1 2026 11:33:04 AM,Morning Run,4888,11.97,228,activities/19850831089.fit.gz,141,
18729311240,May 31 2026 12:20:22 PM,Morning Run,3686,8.48,99,activities/19838475903.fit.gz,130,
18715117882,May 30 2026 10:56:02 AM,Morning Run,6722,14.69,165,activities/19823996006.fit.gz,128,
18688239102,May 28 2026 10:50:54 AM,Morning Run,4490,11.46,245,activities/19796636064.fit.gz,146,
18661740402,May 26 2026 12:58:59 PM,Morning Run,4648,11.02,182,activities/19769644972.fit.gz,137,
18648570010,May 25 2026 12:50:36 PM,Morning Run,5651,12.9,174,activities/19756222673.fit.gz,132,
18621607174,May 23 2026 10:53:01 AM,Morning Run,9032,21.21,388,activities/19728668738.fit.gz,139,
18608008934,May 22 2026 11:51:38 AM,Morning Run,3681,8.94,128,activities/19714792550.fit.gz,135,
18595900638,May 21 2026 12:57:24 PM,Morning Run,5436,13.34,238,activities/19702462866.fit.gz,139,
18568944940,May 19 2026 12:50:54 PM,Morning Run,5261,11.9,245,activities/19675161058.fit.gz,141,
18553954726,May 18 2026 10:56:59 AM,Morning Run,4588,10.67,213,activities/19660045527.fit.gz,141,
18543035931,May 17 2026 11:40:23 AM,Morning Run,5315,12,186,activities/19648969269.fit.gz,135,
18528987866,May 16 2026 11:08:37 AM,Morning Run,5805,13.21,181,activities/19634724684.fit.gz,133,
18515819546,May 15 2026 10:58:31 AM,Morning Run,3599,7.87,91,activities/19621420809.fit.gz,128,
18504645164,May 14 2026 12:57:30 PM,Morning Run,3887,8.86,104,activities/19610155038.fit.gz,129,
18477201162,May 12 2026 12:43:04 PM,Morning Run,3195,7.18,87,activities/19582492149.fit.gz,130,
18452883609,May 10 2026 12:33:47 PM,Morning Run,3702,8.48,114,activities/19557941255.fit.gz,132,
18438312695,May 9 2026 12:01:34 PM,Morning Run,3085,7.09,81,activities/19543170928.fit.gz,129,
18426903590,May 8 2026 12:13:51 PM,Morning Run,3168,7.14,101,activities/19531637049.fit.gz,133,
18412066973,May 7 2026 12:40:54 PM,Morning Ride,1288,0,21,activities/19516672793.fit.gz,120,
18385805256,May 5 2026 12:50:34 PM,Morning Run,4441,10.36,173,activities/19490228066.fit.gz,137,
18372576586,May 4 2026 12:59:07 PM,Morning Run,5202,11.9,180,activities/19476886032.fit.gz,135,
18359843017,May 3 2026 12:21:50 PM,Morning Run,3704,8.44,121,activities/19463999901.fit.gz,134,
18347005207,May 2 2026 11:40:10 AM,Morning Run,9045,21.26,500,activities/19450962356.fit.gz,146,
18333086945,May 1 2026 12:32:49 PM,Morning Run,4109,9.69,177,activities/19436860719.fit.gz,139,
18319775007,Apr 30 2026 1:00:58 PM,Morning Run,5138,11.93,216,activities/19423421152.fit.gz,139,
18306846069,Apr 29 2026 12:40:07 PM,Morning Run,6567,15.02,330,activities/19410407201.fit.gz,143,
18266433231,Apr 26 2026 12:15:07 PM,Morning Run,4717,10.37,153,activities/19369662432.fit.gz,134,
18252930732,Apr 25 2026 11:39:22 AM,Morning Run,9059,21.16,467,activities/19355980800.fit.gz,143,
